,Article Headlines,Article URLs,Keywords,Similarity Weights
10,"Here’s how Asheville and North Carolinians are showing up for each other after Helene|||Couple narrowly escapes Hurricane Helene's fury in NC mountains as mudslide just misses car|||How Helene became a ‘worst case scenario’What fueled Helene and caused so much devastation in North CarolinaBy Simon Ducroquet, John Muyskens, Naema Ahmed, Nicolás Rivero and Niko KommendaOctober 5, 2024|||How Helene Has Upended North Carolina’s Election Plans",https://www.cnn.com/2024/10/06/us/north-carolina-residents-helping-helene-victims/index.html|||https://www.foxnews.com/media/couple-narrowly-escapes-hurricane-helenes-fury-nc-mountains-mudslide-just-misses-car|||https://www.washingtonpost.com/climate-environment/interactive/2024/helene-flooding-damage-north-carolina-chimney-rock/|||https://www.nytimes.com/2024/10/08/us/north-carolina-election-hurricane-helene.html,helene|||north,1.3237812370061874
11,"‘Shocking,’ historic spike in anti-Jewish threats across the US, ADL says|||New report finds nearly 200% increase in antisemitic incidents in US since Oct. 7 Hamas terror massacre|||American Jews cope with the fallout a year after the Oct. 7 attacksBy Michelle Boorstein|||Antisemitism and Threats Directed at Officials Over Storm Response",https://www.cnn.com/2024/10/06/us/anti-jewish-threats-us-adl/index.html|||https://www.foxnews.com/world/new-report-finds-nearly-200-increase-antisemitic-incidents-in-us-since-oct-7-hamas-terror-massacre|||https://www.washingtonpost.com/world/2024/10/07/american-jews-antisemitism-israel-gaza-attacks-anniversary/|||https://www.nytimes.com/2024/10/08/us/north-carolina-floods-antisemitic-social-media.html,oct|||threat,1.304873138666153
12,"What’s the latest news about the Trump-Harris race? It depends on who you ask|||Fox News Politics: Harris' Heavy Hitter|||AnalysisKamala Harris’s what-can-you-do-for-me problemA new poll gets at a significant disconnect in the 2024 race. Voters like Harris and even her policies, but they see themselves better off under Trump.By Aaron BlakeSeptember 23, 2024|||Harris, in Michigan, Tries to Head Off Trump’s Attacks Over Gas Cars",https://www.cnn.com/2024/09/29/politics/breakthrough-polling-project-trump-harris-springfield/index.html|||https://www.foxnews.com/politics/fox-news-politics-newsletter-harris-heavy-hitter|||https://www.washingtonpost.com/politics/2024/09/23/kamala-harriss-what-can-you-do-for-me-problem/|||https://www.nytimes.com/2024/10/04/us/politics/kamala-harris-trump-gas-cars-evs-michigan.html,harris|||news|||race|||trump,1.2881594896316528
13,"Trump vows to ‘remove the Jew haters’ if reelected during event commemorating October 7 attacks|||One year after 10/7 attacks and Democrat-run states have let antisemitism fester|||Trump, who has criticized Jewish Democrats, blames their party for antisemitismBy Carmen Sesin and Sabrina Rodriguez|||Oct. 7: For Jews in America, a Time of Reflection",https://www.cnn.com/2024/10/08/politics/trump-remove-jew-haters-october-7-event/index.html|||https://www.foxnews.com/opinion/one-year-after-10-7-attacks-democrat-run-states-have-let-antisemitism-fester|||https://www.washingtonpost.com/politics/2024/10/07/trump-antisemitism-democrats-republicans/|||https://www.nytimes.com/2024/10/07/opinion/jews-antisemitism-oct7.html,attack|||democrat|||trump,1.2336260676383972
14,5 takeaways from Kamala Harris’ one-on-one interview with ‘60 Minutes’|||5 key takeaways from Kamala Harris' '60 Minutes' interview|||7 Takeaways From Harris’s Interview on ‘60 Minutes’,https://www.cnn.com/2024/10/07/politics/takeaways-kamala-harris-60-minutes/index.html|||https://www.foxnews.com/politics/5-key-takeaways-from-kamala-harris-60-minutes-interview|||https://www.nytimes.com/2024/10/07/us/politics/kamala-harris-60-minutes-interview-takeaways.html,harris|||interview|||kamala|||minute|||takeaway,0.8570637702941895
15,"Famed Cuban, MLB pitcher Luis Tiant dies at 83|||Ex-MLB star Luis Tiant dead at 83|||Luis Tiant, the charismatic Cuban who pitched the Red Sox to the brink of a championship, dies at 83Luis Tiant has died at the age of 83By Jimmy Golen | APOctober 8, 2024",https://www.cnn.com/2024/10/08/sport/cuban-mlb-pitcher-luis-tiant-dies-spt-intl/index.html|||https://www.foxnews.com/sports/ex-mlb-star-luis-tiant-dead|||https://www.washingtonpost.com/sports/mlb/2024/10/08/luis-tiant-dies-red-sox/f3f018e4-858e-11ef-8274-e0558282750d_story.html,cuban|||luis|||mlb|||tiant,0.8399566411972046
16,"US budget deficit hits $1.8 trillion for fiscal 2024, per CBO|||U.S. deficit hits $1.8 trillion as interest costs riseRising interest costs have swelled the U.S. deficit, prompting concerns about a potential debt crisis.By Jacob BogageOctober 8, 2024|||U.S. Budget Deficit Rises to $1.8 Trillion in 2024",https://www.cnn.com/2024/10/08/politics/us-federal-budget-national-deficit/index.html|||https://www.washingtonpost.com/business/2024/10/08/federal-budget-deficit-financial-health/|||https://www.nytimes.com/2024/10/08/us/politics/us-budget-deficit-2024.html,budget|||cost|||deficit,0.8398260772228241
17,‘Here we go again’: Hurricane Milton strengthens to Category 3 and aims at Helene-weary Florida|||VARNEY: Hurricanes Milton and Helene are churning 'serious' long-term effects|||Hurricane Milton aims at Florida as Helene recovery continuesOctober 6,https://www.cnn.com/2024/10/06/weather/tropical-storm-milton-florida-sunday/index.html|||https://www.foxbusiness.com/media/stuart-varney-hurricanes-milton-helene-churning-serious-long-term-effects|||https://www.washingtonpost.com/weather/2024/10/06/fema-hurricane-florida-milton-helene/,florida|||helene|||hurricane|||milton,0.7818572223186493
18,Netanyahu confirms Hezbollah's pick to replace Nasrallah as leader is dead: ‘thousands of terrorists’ killed|||Hasan Nasrallah is gone. But the threat of Hezbollah remains.Opinion by Max Boot|||Netanyahu Suggests Israel Killed Likely Replacements for Hezbollah’s Leader,https://www.foxnews.com/world/netanyahu-confirms-nasrallahs-replacement-dead-thousands-terrorists-killed|||https://www.washingtonpost.com/opinions/2024/09/28/hasan-nasrallah-hezbollah-airstrike-killed/|||https://www.nytimes.com/2024/10/08/world/middleeast/netanyahu-hezbollah-nasrallah-replacement.html,hezbollah|||leader|||nasrallah|||netanyahu,0.7762849628925323
19,"TikTok sued by 14 attorneys general over alleged harm to children’s mental health|||States sue TikTok, saying its addictive features hook children|||TikTok Faces Barrage of Lawsuits Around Teens and Mental Health",https://www.cnn.com/2024/10/08/tech/tiktok-sued-14-states-childrens-mental-health/index.html|||https://www.washingtonpost.com/technology/2024/10/08/tiktok-sued-states-lawsuit-children-addiction/|||https://www.nytimes.com/2024/10/08/business/tiktok-lawsuits-us-states-teens-mental-health.html,child|||health|||mental|||tiktok,0.7615256905555725
20,"‘Truthfully, only a fool would stay.’ Floridians head inland as Hurricane Milton’s fury nears|||Coastal Floridian warns others to 'get out' as Hurricane Milton closes in: 'We have no idea' what's coming|||Hurricane Milton nears Florida coast as thousands evacuateAmid dire warnings and predictions of giant storm surges, Floridians puzzled over how far to flee was far enough — or whether to flee at all.By Molly Hennessy-Fiske, Joshua Partlow, Bryan Pietsch, Jason Samenow and Karin BrulliardOctober 8, 2024",https://www.cnn.com/2024/10/08/us/evacuations-helene-milton-inland-florida/index.html|||https://www.foxnews.com/media/florida-braces-milton-coastal-resident-warns-others-get-no-idea-coming|||https://www.washingtonpost.com/weather/2024/10/08/hurricane-milton-florida-evacuations-warnings/,floridian|||hurricane|||milton,0.7530280351638794
21,"Biden moves to replace all lead pipes within the next decade|||In landmark move, EPA requires removal of all U.S. lead pipes in a decade|||Biden Requires Lead Drinking-Water Pipes to be Replaced Nationwide",https://www.cnn.com/2024/10/08/politics/lead-pipes-joe-biden/index.html|||https://www.washingtonpost.com/climate-solutions/2024/10/08/epa-lead-pipe-removal-rule-drinking-water/|||https://www.nytimes.com/2024/10/08/climate/biden-epa-lead-pipes.html,biden|||decade|||lead|||pipe,0.7182273268699646
22,"Nearly 1,500 Florida gas stations have run out of fuel. Hurricane Milton could cause even more trouble|||Hurricane Milton drives gas shortage in Florida as residents flee storm|||Hurricane Milton nears Florida coast as thousands evacuateOctober 8",https://www.cnn.com/2024/10/08/business/hurricane-milton-florida-gasoline-shortages/index.html|||https://www.foxbusiness.com/economy/hurricane-milton-drives-gas-shortage-florida-residents-flee-storm|||https://www.washingtonpost.com/weather/2024/10/08/hurricane-milton-florida-evacuations-warnings/,florida|||gas|||hurricane|||milton,0.7172248363494873
23,"Museum worker mistakes beer can artwork for garbage, tosses in trash|||Museum’s beer can artwork accidentally thrown in trash by staff member|||Art or Trash? It Can Be a Fine Line.",https://www.foxnews.com/travel/museum-worker-mistakes-beer-can-artwork-garbage-tosses-trash|||https://www.cnn.com/2024/10/08/style/beer-can-artwork-trash-scli-intl/index.html|||https://www.nytimes.com/2024/10/08/arts/beer-can-art-lam-museum-thrown-out.html,beer|||museum|||trash,0.7145426869392395
24,"Ancient remains of Egyptian army barracks and a bronze sword unearthed by archaeologists|||Ancient sword from the era of Moses, Book of Exodus uncovered in Egypt|||Sword with pharaoh’s mark found in Egypt, still shimmering 3,000 years laterThe bronze sword was unearthed by archaeologists at an ancient fort in the Nile Delta. It was emblazoned with the signature emblem of Ancient Egyptian pharaoh Ramses II.By Leo SandsSeptember 19, 2024",https://www.cnn.com/2024/09/17/science/egypt-army-barracks-sword-intl-scli/index.html|||https://www.foxnews.com/lifestyle/ancient-sword-era-moses-book-exodus-uncovered-egypt|||https://www.washingtonpost.com/history/2024/09/19/ancient-egypt-military-sword-archaeology-fort/,ancient|||archaeologist|||bronze|||egypt|||egyptian|||pharaoh|||sword,0.7133552134037018
25,‘Godfather of AI’ shares Nobel Prize in physics for work on machine learning|||Pioneers of AI win Nobel Prize in physics for laying the groundwork of machine learning|||Nobel Physics Prize Awarded for Pioneering A.I. Research by 2 Scientists,https://www.cnn.com/2024/10/08/science/nobel-prize-physics-hopfield-hinton-machine-learning-intl/index.html|||https://www.foxnews.com/science/pioneers-ai-win-nobel-prize-physics-laying-groundwork-machine-learning|||https://www.nytimes.com/2024/10/08/science/nobel-prize-physics.html,ai|||learning|||machine|||nobel|||physics|||prize,0.7080546021461487
26,"Harris says there’s not much she’d have done differently than Biden over the last 4 years|||Kamala Harris tells 'The View' she can't think of anything she would have done differently from Biden|||On differences with Biden, Harris says ‘not a thing that comes to mind’",https://www.cnn.com/politics/harris-2024-campaign-biden/index.html|||https://www.foxnews.com/media/kamala-harris-tells-the-view-she-cant-think-anything-she-would-have-done-differently-from-biden|||https://www.washingtonpost.com/politics/2024/10/08/harris-biden-differences-view-howard-stern/,biden|||harris,0.6970256567001343
27,"CNN Instant Poll: No clear winner in VP debate between Tim Walz and JD Vance|||Why Vance easily beat Walz in debate, softening his image in the process|||VP debate moderators clarify, press and cut the mics once, for JD VanceCBS News anchors Norah O’Donnell and Margaret Brennan were more facilitators than fact-checkers during the vice-presidential debate between Sen. JD Vance (R-Ohio) and Gov. Tim Walz (D-Minn.).By Jeremy BarrOctober 1, 2024",https://www.cnn.com/2024/10/02/politics/election-poll-walz-vance-debate/index.html|||https://www.foxnews.com/politics/why-vance-easily-beat-walz-debate-softening-his-image-process|||https://www.washingtonpost.com/style/media/2024/10/01/vp-debate-walz-vance-norah-odonnell-margaret-brennan-cbs/,debate|||jd|||tim|||vance|||vp|||walz,0.6942124962806702
28,"Mauricio Pochettino unveiled as US men’s head coach|||Mauricio Pochettino kicks off new USMNT era with 'tough' and 'intense' training session|||USMNT finally gets its coach: Mauricio Pochettino finalizes long-awaited dealKnown for nurturing young players and deploying proactive tactics, Pochettino will take over a U.S. team that has less than two years to prepare for the World Cup.By Steven GoffSeptember 10, 2024",https://www.cnn.com/2024/09/13/sport/video/pochettino-riddell-intv-091305pseg1-cnni-sports-fast|||https://www.foxnews.com/sports/mauricio-pochettino-kicks-off-new-usmnt-era-tough-intense-training-session|||https://www.washingtonpost.com/sports/2024/09/10/mauricio-pochettino-usmnt-coach/,coach|||mauricio|||pochettino,0.6871777176856995
29,Why the Tampa Bay area is especially vulnerable as Hurricane Milton nearsOctober 7|||Hurricane Milton strengthens to Category 2: What Floridians need to know|||Hurricane Milton has Florida homeowners and the insurance market bracing for impact,https://www.washingtonpost.com/climate-environment/2024/10/07/tampa-bay-flood-risk/|||https://www.cnn.com/2024/10/07/weather/video/hurricane-milton-category-two-florida-storm-update-ctm-digvid|||https://www.foxbusiness.com/economy/hurricane-milton-has-florida-homeowners-insurance-market-bracing-impact,hurricane|||milton,0.6773462295532227
30,"Walz says Electoral College ‘needs to go’ at California fundraiser|||Vance, Walz didn't sway undecided voters. Campaigns must do 2 things to close the deal|||Walz Says the Electoral College ‘Needs to Go’",https://www.cnn.com/2024/10/08/politics/walz-electoral-college-needs-to-go/index.html|||https://www.foxnews.com/opinion/vance-walz-didnt-sway-undecided-voters-week-candidates-must-do-2-things-close-deal|||https://www.nytimes.com/2024/10/08/us/politics/tim-walz-electoral-college.html,college|||electoral|||walz,0.6768545210361481
31,"WNBA Rookie of the Year Caitlin Clark set to participate in LPGA golf event in November|||Caitlin Clark Wins WNBA Rookie Of The Year One Vote Shy Of Unanimous Because Someone Picked Angel Reese|||Caitlin Clark to tee it up in LPGA pro-am at The AnnikaCaitlin Clark wasn’t entirely joking when she included golf in her offseason plansBy Associated PressOctober 7, 2024",https://www.cnn.com/2024/10/08/sport/caitlin-clark-lpga-pro-am-spt-intl/index.html|||https://www.outkick.com/sports/caitlin-clark-wins-wnba-rookie-year-angel-reese|||https://www.washingtonpost.com/sports/golf/2024/10/07/caitlin-clark-gainbridge-lpga-proam-annika/cc2d2a2e-84d8-11ef-8274-e0558282750d_story.html,caitlin|||clark|||golf|||lpga|||rookie|||wnba|||year,0.6763393878936768
32,Qantas apologizes after R-rated film plays on every screen during Sydney-Tokyo flight|||Passengers horrified after airline plays explicit movie on every screen|||Qantas Apologizes for Showing R-Rated Film With Nudity to Entire Flight,https://www.cnn.com/2024/10/07/travel/qantas-r-rated-movie-inflight-daddio-intl-hnk/index.html|||https://www.foxbusiness.com/fox-news-world/passengers-horrified-airline-plays-explicit-movie-every-screen-super-uncomfortable|||https://www.nytimes.com/2024/10/08/business/qantas-airlines-australia-r-rated-movie.html,apologize|||film|||flight|||qanta|||screen,0.6752594709396362
33,"Disney World and other major Florida tourist attractions closing ahead of Milton|||Walt Disney World, Universal Orlando closing for Hurricane Milton|||Hurricane Milton nears Florida coast as thousands evacuate",https://www.cnn.com/travel/disney-world-closing-florida-milton/index.html|||https://www.foxbusiness.com/lifestyle/walt-disney-world-universal-orlando-closing-hurricane-milton|||https://www.washingtonpost.com/weather/2024/10/08/hurricane-milton-florida-evacuations-warnings/,disney|||florida|||hurricane|||milton|||world,0.6731294691562653
34,"Fact check: No evidence for Trump’s claim he has been to Gaza|||Morning Glory: Trump stands with Israel|||Trump Says He’s Visited Gaza, but No Record of Such a Trip Exists",https://www.cnn.com/2024/10/08/politics/trump-gaza-fact-check/index.html|||https://www.foxnews.com/opinion/morning-glory-trump-stands-israel|||https://www.nytimes.com/2024/10/07/us/politics/trump-gaza-israel.html,gaza|||trump,0.6692872643470764
35,"Harris says Trump’s putting politics over people with his hurricane response: ‘He really lacks empathy on a very basic level’|||Ron DeSantis says Harris has 'no role' in hurricane response: 'I don't have time for political games'|||On ‘The View,’ Harris Hits at Trump’s ‘Callousness’ in His Storm Response",https://www.cnn.com/2024/10/08/politics/kamala-harris-donald-trump-hurricane-milton/index.html|||https://www.foxnews.com/media/ron-desantis-says-harris-has-no-role-hurricane-preparation-i-dont-have-time-political-games|||https://www.nytimes.com/2024/10/08/us/politics/harris-the-view-interview-trump.html,harris|||hurricane|||response|||trump,0.6684955358505249
36,"OpenAI hit by staff exits as it seeks to restructure and raise new fundsChief technology officer Mira Murati and two research leaders announced their departures Wednesday. The company is exploring a new structure that could help raise new funding.September 26|||Three more execs out at OpenAI, including technology chief Mira Murati|||OpenAI reportedly looking to strip control from nonprofit board, go for-profit in restructuring",https://www.washingtonpost.com/technology/2024/09/25/openai-mira-murati-departure-leaves/|||https://www.cnn.com/2024/09/25/tech/openai-technology-chief-mira-murati-leaving/index.html|||https://www.foxbusiness.com/technology/openai-reportedly-looking-ditch-non-profit-control-3-more-execs-leave,mira|||murati|||new|||openai|||technology,0.667047768831253
37,"As Hurricane Milton threatens the US, Helene could cost property owners more than $47 billion|||Florida businesses fear Hurricane Milton will worsen Helene 'devastation'|||Hurricane Milton aims at Florida as Helene recovery continues",https://www.cnn.com/2024/10/07/business/property-damange-hurricane-helene-47-billion/index.html|||https://www.foxbusiness.com/media/florida-businesses-fear-hurricane-milton-worsen-helene-devastation-looks-like-third-world-country|||https://www.washingtonpost.com/weather/2024/10/06/fema-hurricane-florida-milton-helene/,florida|||helene|||hurricane|||milton,0.6574042737483978
38,"Arizona Supreme Court rules voters caught in proof-of-citizenship glitch can still get ‘full ballot,’ including state races|||Oregon mistakenly registered hundreds more voters without proving citizenship|||Number of Arizona voters missing citizenship proof doubles",https://www.cnn.com/2024/09/20/politics/arizona-supreme-court-citizenship-voting/index.html|||https://www.foxnews.com/politics/oregon-mistakenly-registered-hundreds-more-voters-without-proving-citizenship|||https://www.washingtonpost.com/politics/2024/09/30/adrian-fontes-arizona-noncitizen-voters/,arizona|||citizenship|||proof|||voter,0.6540890038013458
39,"Federal judge backs Biden in battle over student loan handouts as election nears|||Federal judge temporarily blocks Biden’s student loan forgiveness planSeven Republican-led states sued to block the Biden administration from advancing a plan to forgive the interest on the federal student loans of 25 million Americans.By Danielle Douglas-GabrielSeptember 6, 2024|||Judge Halts Biden Student Debt Plan Right After It Was Allowed to Proceed",https://www.foxbusiness.com/politics/federal-judge-hands-biden-win-republicans-challenge-student-loan-bailout|||https://www.washingtonpost.com/education/2024/09/05/federal-court-blocks-biden-student-loan-forgiveness-plan/|||https://www.nytimes.com/2024/10/04/us/politics/biden-student-debt-missouri.html,biden|||federal|||judge|||loan|||plan|||student,0.6524073481559753
40,"The best mortgage interest rates today: October 7, 2024|||Today's 15- and 30-year mortgage rates hold at lowest level in over a year | August 13, 2024|||Mortgage rates are coming down — and home buyers are ready to pounceHomebuyers are rushing to take advantage of lower mortgage rates following the Federal Reserve’s recent interest rate cut.By Abha Bhattarai and Rachel SiegelSeptember 19, 2024",https://www.cnn.com/cnn-underscored/money/mortgage-interest-rates-today-10-07-2024|||https://www.foxbusiness.com/personal-finance/todays-mortgage-rates-august-13-2024|||https://www.washingtonpost.com/business/2024/09/19/mortgage-rates-drop-fed-cut-homebuyers-refinancing/,low|||mortgage|||rate|||today|||year,0.6518769264221191
41,"Afghan national charged with Election Day terrorist plot in US|||Afghan man arrested in Okla., accused of plotting Election Day attackNasir Ahmad Tawhedi is accused of working with his brother-in-law, a minor, to target large gatherings in the United States on Nov. 5 in the name of ISIS.By Perry SteinOctober 8, 2024|||Afghan Man Arrested on Charges of Plotting Election Day Attack",https://www.cnn.com/2024/10/08/politics/isis-terrorism-arrest-oklahoma-election-day/index.html|||https://www.washingtonpost.com/national-security/2024/10/08/oklahoma-isis-afghan-election-day-plot-fbi/|||https://www.nytimes.com/2024/10/08/us/politics/election-day-attack-afghanistan-isis.html,afghan|||day|||election|||man,0.6493745446205139
42,"Tampa Bay Buccaneers heading to New Orleans early to avoid Hurricane Milton|||Hurricane Milton's path takes it through Tampa, Orlando airports, airlines are impacted|||Why the Tampa Bay area is especially vulnerable as Hurricane Milton nears",https://www.cnn.com/2024/10/08/sport/tampa-bay-buccaneers-new-orleans-hurricane-milton-spt-intl/index.html|||https://www.foxbusiness.com/lifestyle/hurricane-miltons-path-takes-through-tampa-orlando-airports-airlines-impacted|||https://www.washingtonpost.com/climate-environment/2024/10/07/tampa-bay-flood-risk/,bay|||hurricane|||milton|||tampa,0.6488880515098572
43,"October 7, 2024, presidential campaign news|||Fox News Digital's News Quiz: October 4, 2024|||Trump: So what?October 4",https://www.cnn.com/politics/live-news/trump-harris-election-10-07-24/index.html|||https://www.foxnews.com/lifestyle/fox-news-digitals-news-quiz-october-4-2024|||https://www.washingtonpost.com/opinions/2024/10/04/ann-telnaes-cartoon-donald-trump/,news|||october,0.6482528746128082
44,"Helene flooding strands hundreds of North Carolina residents as storm’s death toll reaches 95|||North Carolina residents will see changes to early voting after Hurricane Helene|||In North Carolina, there was before Helene. This is the after.“A hundred years from now, they will be talking about this flood,” said one resident in Western North Carolina, where the extent of the disaster is only beginning to emerge.By Brady Dennis, Scott Dance, Dino Grandoni, Gerrit De Vynck and Brianna SacksOctober 6, 2024",https://www.cnn.com/2024/09/29/weather/hurricane-helene-florida-georgia-carolinas-sunday/index.html|||https://www.foxnews.com/politics/north-carolina-residents-see-changes-early-voting-after-hurricane-helene|||https://www.washingtonpost.com/weather/interactive/2024/north-carolina-hurricane-helene-before-aftermath-georgia/,carolina|||helene|||north|||resident,0.6451874077320099
